Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;8;205;38,00;0,00;0,00
2;4;12;197;37,00;0,00;0,00
3;4;15;191;36,00;0,00;0,00
4;4;18;185;38,75;0,00;0,00
5;4;21;180;37,75;0,00;0,00
6;4;24;174;36,75;0,00;0,00
7;4;27;170;35,75;0,00;0,00
8;4;29;166;34,75;0,00;0,00
9;4;32;160;33,75;0,00;0,00
10;4;33;158;32,75;0,00;0,00
11;4;35;154;31,75;0,00;0,00
12;4;38;149;30,75;0,00;0,00
13;4;38;147;29,75;0,00;0,00
14;4;42;139;28,75;0,00;0,00
15;4;44;135;31,50;0,00;0,00
16;4;46;129;30,50;0,00;0,00
17;4;48;125;29,50;0,00;0,00
18;4;50;120;28,50;0,00;0,00
19;4;50;118;38,75;0,00;0,00
20;4;51;115;41,50;0,00;0,00
21;4;51;114;44,25;0,00;0,00
22;4;52;111;43,25;0,00;0,00
23;4;52;109;46,00;0,00;0,00
24;4;54;104;46,00;0,00;0,00
25;4;56;101;45,00;0,00;0,00
26;4;55;99;48,25;0,00;0,00
27;4;55;98;51,00;0,00;0,00
28;4;56;97;50,00;0,00;0,00
29;4;59;93;49,00;0,00;0,00
30;4;60;92;48,00;0,00;0,00
31;4;62;90;47,00;0,00;0,00
32;4;63;88;46,00;0,00;0,00
33;4;65;85;45,00;0,00;0,00
34;4;64;85;47,50;0,00;0,00
35;4;64;85;46,75;0,00;0,00
36;4;64;84;45,75;0,00;0,00
37;4;66;83;44,75;0,00;0,00
38;4;68;82;43,75;0,00;0,00
39;4;69;80;42,75;0,00;0,00
40;3;68;80;60,67;39,00;0,00
41;3;68;80;60,00;39,00;0,00
42;3;70;78;59,00;39,00;0,00
43;3;70;76;60,67;39,00;0,00
44;3;70;75;60,00;39,00;0,00
45;3;70;75;59,33;39,00;0,00
46;3;69;75;63,33;39,00;0,00
47;3;70;74;62,33;39,00;0,00
48;3;71;74;61,33;39,00;0,00
49;3;72;73;60,33;39,00;0,00
50;3;72;72;59,33;39,00;0,00
51;3;72;71;60,33;39,00;0,00
52;3;73;71;63,00;39,00;0,00
53;3;73;70;62,00;39,00;0,00
54;3;72;70;62,00;39,00;0,00
55;3;73;69;61,00;39,00;0,00
56;3;75;66;60,00;39,00;0,00
57;3;76;65;59,00;39,00;0,00
58;3;77;64;58,00;39,00;0,00
59;3;78;63;57,00;39,00;0,00
60;3;78;62;56,00;39,00;0,00
61;3;80;60;55,00;39,00;0,00
62;3;80;59;54,00;39,00;0,00
63;3;80;59;53,00;39,00;0,00
64;3;81;59;52,00;39,00;0,00
65;3;82;58;51,00;39,00;0,00
66;3;81;58;54,00;39,00;0,00
67;3;83;58;53,00;39,00;0,00
68;3;83;58;52,00;39,00;0,00
69;3;85;58;51,00;39,00;0,00
70;3;84;58;55,00;39,00;0,00
71;3;83;58;55,33;39,00;0,00
72;3;83;58;54,67;39,00;0,00
73;3;83;58;59,00;39,00;0,00
74;3;84;58;58,00;39,00;0,00
75;3;82;58;60,67;39,00;0,00
76;3;82;58;60,00;39,00;0,00
77;3;83;57;59,00;39,00;0,00
78;3;84;57;58,00;39,00;0,00
79;3;84;55;58,00;39,00;0,00
80;3;85;54;57,00;39,00;0,00
81;4;85;54;46,75;39,00;0,50
82;5;85;54;40,40;39,00;0,80
83;6;85;53;36,00;39,00;1,00
84;7;85;51;33,43;39,00;1,14
85;7;85;50;34,57;39,00;1,14
86;7;85;49;35,71;39,00;1,14
87;7;86;46;36,86;39,00;1,14
88;7;86;46;36,00;39,00;1,14
89;7;85;46;37,29;39,00;1,14
90;6;84;45;45,17;64,00;1,17
91;5;84;45;53,40;45,67;0,80
92;5;82;44;55,60;45,67;0,80
93;5;81;44;54,80;45,67;0,80
94;5;81;43;55,00;45,67;0,80
95;5;80;43;54,20;45,67;0,80
96;5;80;42;53,80;45,67;0,80
97;5;80;42;53,00;45,67;0,80
98;5;79;42;55,00;45,67;0,80
99;5;80;42;57,00;45,67;0,80
100;5;80;42;59,00;45,67;0,80
101;5;81;41;61,00;45,67;0,80
102;5;83;41;60,00;45,67;0,80
103;5;82;41;60,60;45,67;0,80
104;5;82;40;59,80;45,67;0,80
105;5;82;40;58,80;45,67;0,80
106;5;82;40;58,20;45,67;0,80
107;5;83;39;57,20;45,67;0,80
108;5;85;39;56,20;45,67;0,80
109;5;83;39;63,20;45,67;0,80
110;5;82;39;62,60;45,67;0,80
111;5;83;38;61,60;45,67;0,80
112;5;83;38;61,00;45,67;0,80
113;5;85;38;60,00;45,67;0,80
114;5;84;38;60,20;45,67;0,80
115;5;82;38;62,60;45,67;0,80
116;5;81;38;62,00;45,67;0,80
117;5;82;37;61,20;45,67;0,80
118;5;83;36;60,80;45,67;0,80
119;5;82;36;61,20;45,67;0,80
120;6;79;36;53,83;45,67;1,00
121;6;78;36;58,00;45,67;1,00
122;6;78;35;59,00;45,67;1,00
123;5;78;35;70,20;44,00;1,20
124;6;77;35;61,67;44,00;1,33
125;6;74;35;65,83;44,00;1,33
126;6;73;35;67,33;44,00;1,33
127;6;75;34;66,83;44,00;1,33
128;6;75;33;70,67;44,00;1,33
129;6;76;32;69,83;44,00;1,33
130;6;78;32;68,83;44,00;1,33
131;6;79;31;68,83;44,00;1,33
132;6;80;31;71,00;44,00;1,33
